sequence_id,frame_index,time_index,image_name,source_relative_path,mask_path,overlay_path,height,width,status,instances,min_area
4cbffe68-5969-4f0a-8be6-9e02efd9720f__r16c13/f01__p01__ch02,0,1,r16c13f01p01-ch02t01.tiff,r16c13f01p01-ch02t01.tiff,masks/r16c13f01p01-ch02t01_mask.tiff,overlays/r16c13f01p01-ch02t01_overlay.png,2160,2160,complete,254,921
4cbffe68-5969-4f0a-8be6-9e02efd9720f__r16c13/f01__p01__ch02,1,2,r16c13f01p01-ch02t02.tiff,r16c13f01p01-ch02t02.tiff,masks/r16c13f01p01-ch02t02_mask.tiff,overlays/r16c13f01p01-ch02t02_overlay.png,2160,2160,complete,249,932
4cbffe68-5969-4f0a-8be6-9e02efd9720f__r16c13/f01__p01__ch02,2,3,r16c13f01p01-ch02t03.tiff,r16c13f01p01-ch02t03.tiff,masks/r16c13f01p01-ch02t03_mask.tiff,overlays/r16c13f01p01-ch02t03_overlay.png,2160,2160,complete,234,922
4cbffe68-5969-4f0a-8be6-9e02efd9720f__r16c13/f01__p01__ch02,3,4,r16c13f01p01-ch02t04.tiff,r16c13f01p01-ch02t04.tiff,masks/r16c13f01p01-ch02t04_mask.tiff,overlays/r16c13f01p01-ch02t04_overlay.png,2160,2160,complete,242,894
4cbffe68-5969-4f0a-8be6-9e02efd9720f__r16c13/f01__p01__ch02,4,5,r16c13f01p01-ch02t05.tiff,r16c13f01p01-ch02t05.tiff,masks/r16c13f01p01-ch02t05_mask.tiff,overlays/r16c13f01p01-ch02t05_overlay.png,2160,2160,complete,230,900
4cbffe68-5969-4f0a-8be6-9e02efd9720f__r16c13/f01__p01__ch02,5,6,r16c13f01p01-ch02t06.tiff,r16c13f01p01-ch02t06.tiff,masks/r16c13f01p01-ch02t06_mask.tiff,overlays/r16c13f01p01-ch02t06_overlay.png,2160,2160,complete,230,927
4cbffe68-5969-4f0a-8be6-9e02efd9720f__r16c13/f01__p01__ch02,6,7,r16c13f01p01-ch02t07.tiff,r16c13f01p01-ch02t07.tiff,masks/r16c13f01p01-ch02t07_mask.tiff,overlays/r16c13f01p01-ch02t07_overlay.png,2160,2160,complete,223,881
4cbffe68-5969-4f0a-8be6-9e02efd9720f__r16c13/f01__p01__ch02,7,8,r16c13f01p01-ch02t08.tiff,r16c13f01p01-ch02t08.tiff,masks/r16c13f01p01-ch02t08_mask.tiff,overlays/r16c13f01p01-ch02t08_overlay.png,2160,2160,complete,235,868
4cbffe68-5969-4f0a-8be6-9e02efd9720f__r16c13/f01__p01__ch02,8,9,r16c13f01p01-ch02t09.tiff,r16c13f01p01-ch02t09.tiff,masks/r16c13f01p01-ch02t09_mask.tiff,overlays/r16c13f01p01-ch02t09_overlay.png,2160,2160,complete,231,860
4cbffe68-5969-4f0a-8be6-9e02efd9720f__r16c13/f01__p01__ch02,9,10,r16c13f01p01-ch02t10.tiff,r16c13f01p01-ch02t10.tiff,masks/r16c13f01p01-ch02t10_mask.tiff,overlays/r16c13f01p01-ch02t10_overlay.png,2160,2160,complete,238,720
4cbffe68-5969-4f0a-8be6-9e02efd9720f__r16c13/f01__p01__ch02,10,11,r16c13f01p01-ch02t11.tiff,r16c13f01p01-ch02t11.tiff,masks/r16c13f01p01-ch02t11_mask.tiff,overlays/r16c13f01p01-ch02t11_overlay.png,2160,2160,complete,237,792
4cbffe68-5969-4f0a-8be6-9e02efd9720f__r16c13/f01__p01__ch02,11,12,r16c13f01p01-ch02t12.tiff,r16c13f01p01-ch02t12.tiff,masks/r16c13f01p01-ch02t12_mask.tiff,overlays/r16c13f01p01-ch02t12_overlay.png,2160,2160,complete,226,794
4cbffe68-5969-4f0a-8be6-9e02efd9720f__r16c13/f01__p01__ch02,12,13,r16c13f01p01-ch02t13.tiff,r16c13f01p01-ch02t13.tiff,masks/r16c13f01p01-ch02t13_mask.tiff,overlays/r16c13f01p01-ch02t13_overlay.png,2160,2160,complete,224,788
4cbffe68-5969-4f0a-8be6-9e02efd9720f__r16c13/f01__p01__ch02,13,14,r16c13f01p01-ch02t14.tiff,r16c13f01p01-ch02t14.tiff,masks/r16c13f01p01-ch02t14_mask.tiff,overlays/r16c13f01p01-ch02t14_overlay.png,2160,2160,complete,224,832
4cbffe68-5969-4f0a-8be6-9e02efd9720f__r16c13/f01__p01__ch02,14,15,r16c13f01p01-ch02t15.tiff,r16c13f01p01-ch02t15.tiff,masks/r16c13f01p01-ch02t15_mask.tiff,overlays/r16c13f01p01-ch02t15_overlay.png,2160,2160,complete,229,869
4cbffe68-5969-4f0a-8be6-9e02efd9720f__r16c13/f01__p01__ch02,15,16,r16c13f01p01-ch02t16.tiff,r16c13f01p01-ch02t16.tiff,masks/r16c13f01p01-ch02t16_mask.tiff,overlays/r16c13f01p01-ch02t16_overlay.png,2160,2160,complete,229,916
4cbffe68-5969-4f0a-8be6-9e02efd9720f__r16c13/f01__p01__ch02,16,17,r16c13f01p01-ch02t17.tiff,r16c13f01p01-ch02t17.tiff,masks/r16c13f01p01-ch02t17_mask.tiff,overlays/r16c13f01p01-ch02t17_overlay.png,2160,2160,complete,228,910
4cbffe68-5969-4f0a-8be6-9e02efd9720f__r16c13/f01__p01__ch02,17,18,r16c13f01p01-ch02t18.tiff,r16c13f01p01-ch02t18.tiff,masks/r16c13f01p01-ch02t18_mask.tiff,overlays/r16c13f01p01-ch02t18_overlay.png,2160,2160,complete,220,897
4cbffe68-5969-4f0a-8be6-9e02efd9720f__r16c13/f01__p01__ch02,18,19,r16c13f01p01-ch02t19.tiff,r16c13f01p01-ch02t19.tiff,masks/r16c13f01p01-ch02t19_mask.tiff,overlays/r16c13f01p01-ch02t19_overlay.png,2160,2160,complete,222,879
4cbffe68-5969-4f0a-8be6-9e02efd9720f__r16c13/f01__p01__ch02,19,20,r16c13f01p01-ch02t20.tiff,r16c13f01p01-ch02t20.tiff,masks/r16c13f01p01-ch02t20_mask.tiff,overlays/r16c13f01p01-ch02t20_overlay.png,2160,2160,complete,229,953
4cbffe68-5969-4f0a-8be6-9e02efd9720f__r16c13/f01__p01__ch02,20,21,r16c13f01p01-ch02t21.tiff,r16c13f01p01-ch02t21.tiff,masks/r16c13f01p01-ch02t21_mask.tiff,overlays/r16c13f01p01-ch02t21_overlay.png,2160,2160,complete,234,917
4cbffe68-5969-4f0a-8be6-9e02efd9720f__r16c13/f01__p01__ch02,21,22,r16c13f01p01-ch02t22.tiff,r16c13f01p01-ch02t22.tiff,masks/r16c13f01p01-ch02t22_mask.tiff,overlays/r16c13f01p01-ch02t22_overlay.png,2160,2160,complete,235,910
4cbffe68-5969-4f0a-8be6-9e02efd9720f__r16c13/f01__p01__ch02,22,23,r16c13f01p01-ch02t23.tiff,r16c13f01p01-ch02t23.tiff,masks/r16c13f01p01-ch02t23_mask.tiff,overlays/r16c13f01p01-ch02t23_overlay.png,2160,2160,complete,225,933
4cbffe68-5969-4f0a-8be6-9e02efd9720f__r16c13/f01__p01__ch02,23,24,r16c13f01p01-ch02t24.tiff,r16c13f01p01-ch02t24.tiff,masks/r16c13f01p01-ch02t24_mask.tiff,overlays/r16c13f01p01-ch02t24_overlay.png,2160,2160,complete,220,923
4cbffe68-5969-4f0a-8be6-9e02efd9720f__r16c13/f01__p01__ch02,24,25,r16c13f01p01-ch02t25.tiff,r16c13f01p01-ch02t25.tiff,masks/r16c13f01p01-ch02t25_mask.tiff,overlays/r16c13f01p01-ch02t25_overlay.png,2160,2160,complete,225,882
4cbffe68-5969-4f0a-8be6-9e02efd9720f__r16c13/f01__p01__ch02,25,26,r16c13f01p01-ch02t26.tiff,r16c13f01p01-ch02t26.tiff,masks/r16c13f01p01-ch02t26_mask.tiff,overlays/r16c13f01p01-ch02t26_overlay.png,2160,2160,complete,220,908
4cbffe68-5969-4f0a-8be6-9e02efd9720f__r16c13/f01__p01__ch02,26,27,r16c13f01p01-ch02t27.tiff,r16c13f01p01-ch02t27.tiff,masks/r16c13f01p01-ch02t27_mask.tiff,overlays/r16c13f01p01-ch02t27_overlay.png,2160,2160,complete,221,915
4cbffe68-5969-4f0a-8be6-9e02efd9720f__r16c13/f01__p01__ch02,27,28,r16c13f01p01-ch02t28.tiff,r16c13f01p01-ch02t28.tiff,masks/r16c13f01p01-ch02t28_mask.tiff,overlays/r16c13f01p01-ch02t28_overlay.png,2160,2160,complete,225,917
4cbffe68-5969-4f0a-8be6-9e02efd9720f__r16c13/f01__p01__ch02,28,29,r16c13f01p01-ch02t29.tiff,r16c13f01p01-ch02t29.tiff,masks/r16c13f01p01-ch02t29_mask.tiff,overlays/r16c13f01p01-ch02t29_overlay.png,2160,2160,complete,214,879
